monthly_income,food_monthly_budget,food_remaining,days_left,days_in_month,planned_food_per_day,food_remaining_per_day,tdee,training_frequency,budget_style,convenience_need,vegetarian_day,goal_fat_loss,goal_muscle_gain,goal_maintain,goal_healthy_eating,sleep_quality_score,injury_risk,time_pressure,stress_risk,budget_pressure,high_protein_preference,vegetarian_preference,action,policy_score,label
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,home_high_protein,0.91,1
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,eat_out_controlled,0.02,0
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,meal_prep,0.98,1
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,snack_recovery,0.31,0
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,vegetarian_meal,0.57,0
28000000,5975180.97,3158515.2,24,30,199172.7,131604.8,2666,0,emotional,0.0318,0,1,0,0,0,0.92,0,0.171,1,1,1,0,sweet_treat,0.02,0
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,home_high_protein,0.81,1
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,eat_out_controlled,0.03,0
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,meal_prep,0.98,1
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,snack_recovery,0.33,0
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,vegetarian_meal,0.69,1
9000000,2039794.65,1739639.32,31,30,67993.15,56117.4,2091,6,strict,0.7297,0,0,0,0,1,0.92,0,0.7178,0,1,0,0,sweet_treat,0.02,0
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,home_high_protein,0.98,1
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,eat_out_controlled,0.25,0
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,meal_prep,0.98,1
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,snack_recovery,0.85,1
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,vegetarian_meal,0.57,0
45000000,9463519.3,4140660.64,9,31,305274.82,460073.4,2096,5,strict,0.6091,0,0,1,0,0,0.92,0,0.7219,0,1,1,0,sweet_treat,0.02,0
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,home_high_protein,0.53,0
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,eat_out_controlled,0.02,0
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,meal_prep,0.75,1
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,snack_recovery,0.34,0
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,vegetarian_meal,0.29,0
5000000,1216474.27,744597.33,31,30,40549.14,24019.27,3075,4,comfort,0.747,0,0,0,0,1,0.78,1,0.5822,0,1,0,0,sweet_treat,0.02,0
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,home_high_protein,0.53,0
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,eat_out_controlled,0.71,1
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,meal_prep,0.75,1
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,snack_recovery,0.59,0
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,vegetarian_meal,0.85,1
18000000,7888210.39,2680940.17,1,28,281721.8,2680940.17,1778,2,emotional,0.1582,1,0,0,0,1,0.92,0,0.7749,0,0,0,1,sweet_treat,0.42,0
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,home_high_protein,0.89,1
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,eat_out_controlled,0.63,1
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,meal_prep,0.98,1
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,snack_recovery,0.98,1
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,vegetarian_meal,0.29,0
9000000,2939235.41,2626328.87,4,30,97974.51,656582.22,1725,5,emotional,0.816,0,0,1,0,0,0.25,0,0.1362,1,0,1,0,sweet_treat,0.24,0
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,home_high_protein,0.81,1
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,eat_out_controlled,0.53,0
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,meal_prep,0.81,1
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,snack_recovery,0.53,0
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,vegetarian_meal,0.89,1
